site__ YYMMMDD yyyy.yyyy _MJD_______ time____ __east(m)_______ _north(m)________ ____up(m)_______ reflat(deg)_____ reflon(deg)_____ Height(m)_______
950203 96MAR21 1996.2185 50163.47100 12:00:00 -3.9359668429E+06 3.1865311856E+06 3.8645628163E+06 3.7533693478E+01 1.4100661132E+02 5.3514679790E+01
950203 96MAR22 1996.2213 50164.49580 12:00:00 -3.9359668511E+06 3.1865311864E+06 3.8645628084E+06 3.7533693384E+01 1.4100661137E+02 5.3515319984E+01
950203 96MAR23 1996.2240 50165.48399 12:00:00 -3.9359668501E+06 3.1865311735E+06 3.8645628105E+06 3.7533693448E+01 1.4100661148E+02 5.3509546229E+01
950203 96MAR24 1996.2267 50166.47220 12:00:00 -3.9359668477E+06 3.1865311861E+06 3.8645628072E+06 3.7533693391E+01 1.4100661135E+02 5.3512343694E+01
950203 96MAR25 1996.2295 50167.49699 12:00:00 -3.9359668540E+06 3.1865311897E+06 3.8645628169E+06 3.7533693421E+01 1.4100661136E+02 5.3523932403E+01
950203 96MAR26 1996.2322 50168.48520 12:00:00 -3.9359668492E+06 3.1865311777E+06 3.8645628060E+06 3.7533693405E+01 1.4100661143E+02 5.3508345709E+01
950203 96MAR27 1996.2349 50169.47339 12:00:00 -3.9359668500E+06 3.1865312183E+06 3.8645628252E+06 3.7533693399E+01 1.4100661108E+02 5.3540794414E+01
950203 96MAR28 1996.2377 50170.49819 12:00:00 -3.9359668586E+06 3.1865311944E+06 3.8645628080E+06 3.7533693322E+01 1.4100661135E+02 5.3523690588E+01
950203 96MAR29 1996.2404 50171.48639 12:00:00 -3.9359668574E+06 3.1865311914E+06 3.8645628069E+06 3.7533693329E+01 1.4100661137E+02 5.3520783910E+01
950203 96MAR30 1996.2431 50172.47459 12:00:00 -3.9359668554E+06 3.1865311887E+06 3.8645628103E+06 3.7533693372E+01 1.4100661138E+02 5.3520275384E+01
950203 96MAR31 1996.2459 50173.49940 12:00:00 -3.9359668567E+06 3.1865311797E+06 3.8645628239E+06 3.7533693494E+01 1.4100661147E+02 5.3524871321E+01
950203 96APR01 1996.2486 50174.48759 12:00:00 -3.9359668363E+06 3.1865311836E+06 3.8645628096E+06 3.7533693466E+01 1.4100661129E+02 5.3505532228E+01
950203 96APR02 1996.2513 50175.47580 12:00:00 -3.9359668393E+06 3.1865311861E+06 3.8645628109E+06 3.7533693453E+01 1.4100661129E+02 5.3509420659E+01
950203 96APR03 1996.2540 50176.46399 12:00:00 -3.9359668613E+06 3.1865312167E+06 3.8645628418E+06 3.7533693475E+01 1.4100661117E+02 5.3557073768E+01
950203 96APR04 1996.2568 50177.48880 12:00:00 -3.9359668568E+06 3.1865312216E+06 3.8645628308E+06 3.7533693398E+01 1.4100661110E+02 5.3550043760E+01
950203 96APR05 1996.2595 50178.47699 12:00:00 -3.9359668442E+06 3.1865311845E+06 3.8645628171E+06 3.7533693482E+01 1.4100661134E+02 5.3515419529E+01
950203 96APR06 1996.2622 50179.46520 12:00:00 -3.9359668494E+06 3.1865311829E+06 3.8645628054E+06 3.7533693382E+01 1.4100661139E+02 5.3510698118E+01
950203 96APR07 1996.2650 50180.49000 12:00:00 -3.9359668630E+06 3.1865311877E+06 3.8645628048E+06 3.7533693303E+01 1.4100661144E+02 5.3521109767E+01
950203 96APR08 1996.2677 50181.47819 12:00:00 -3.9359668532E+06 3.1865311899E+06 3.8645628105E+06 3.7533693378E+01 1.4100661135E+02 5.3519640075E+01
950203 96APR09 1996.2704 50182.46639 12:00:00 -3.9359668484E+06 3.1865311905E+06 3.8645628165E+06 3.7533693439E+01 1.4100661131E+02 5.3520636443E+01
950203 96APR10 1996.2732 50183.49119 12:00:00 -3.9359668399E+06 3.1865311917E+06 3.8645628063E+06 3.7533693399E+01 1.4100661124E+02 5.3509782280E+01
950203 96APR11 1996.2759 50184.47940 12:00:00 -3.9359668591E+06 3.1865311760E+06 3.8645628070E+06 3.7533693376E+01 1.4100661152E+02 5.3514208348E+01
